За тур.поездку по договору №001 от 27.01.2023г	SERVICE
За оказание услуг по договору №53Б-02746 от 23/08/2024	SERVICE
Оплата штрафа	TAX
Лечение по договору №Д-00359/24 от 08.03.2025	SERVICE
"Оплата основного долга за период с 16.12.2024г. по 20 марта 2026г по Договору №Г03388/25 от 02.09.2027г с ОАО ""Второй банк"""	BANK_SERVICE
Оплата за Бульон Роллтон Домашний куриный 90г по счету 27336253164249532548 от 28.05.2023г Сумма 4210.00	FOOD_GOODS
Комиссионное вознаграждение за валютный перевод.	BANK_SERVICE
государственная пошлина	TAX
Лечение по договору №Д00184/63 от 27.12.2023 г.	SERVICE
Оплата по счету 0187,0188,0189 от 02.01.2024 (в рамках договора финансовой аренды №00438Б от 22 декабря 2025г). В т.ч. НДС(20%) 218333,33	LEASING
"Оплата по товарной накладной 0049 от 30 октября 2025 за конфеты ""Алёнка"".Сумма 11800-00 В т.ч. НДС 20% 1966-66"	FOOD_GOODS
Оплата за Конфеты Milla Vanilla Трюфель классический 200г по счету 02975795096475183726 от 08.07.2023г Сумма 3010.00	FOOD_GOODS
Оказание прочих услуг	SERVICE
Перевод собственных средств на собственный счет	NOT_CLASSIFIED
Оплата за Сушеная и вяленая рыба по счету 89060952434565760499 от 28/05/2026 Сумма 910.00	FOOD_GOODS
Оплата за консультирование в сфере информационных технологий по договору №16Д-01555 от 31.05.2028 г.	SERVICE
Перевод средств на собственный счет	NOT_CLASSIFIED
Оплата по счету 0798,0799,0800 от 20.02.2024 (в рамках договора финансовой аренды №69-04477 от 04.03.2025). В т.ч. НДС(20%) 385000.0	LEASING
Оплата коммунальных услуг	SERVICE
Окончательный расчет по акту приема-передачи №0046 от 04/05/2024г. (договор лизинга №01434А от 26/03/2024г.). В т.ч. НДС(20%) 813333.33	LEASING
Оплата аванса за ГСМ по счету А-0631 от 21.01.2024г к Договору №Г02634 от 16.04.2025г. на сумму 1960000-00В т.ч. НДС(20%) 326666-66	NON_FOOD_GOODS
Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №69-02194	SERVICE
Оплата за Чернослив Красная Цена 100 г по счету 37542489267283838868 от 24.12.2026 г. Сумма 2970,00	FOOD_GOODS
ПРЕДОПЛАТА ПО ДОГ. №466 за Раствор водный натриевых солей (поли)акриловой кислотыСумма 4190000,00 в т.ч.НДС  698333,33	NON_FOOD_GOODS
Перевод себе	NOT_CLASSIFIED
Оплата по сч. 0165 от 30/11/2025 за абхазсие мандарины. Сумма 22000.00 В т.ч. НДС 20% - 3666.66	FOOD_GOODS
Возврат денежных средств по договору займа №7-04135/33 от 03.08.2024. Без НДС	LOAN
Оплата по товарой накладной за 100 штук пачек кофе Lavaza по счету 0403 от 10.11.2025г .Сумма 17100-00 В т.ч. НДС 20% 2850-00	FOOD_GOODS
Оплата за Размещение рекламы по счету 47993475285181128847 от 11.09.2024г.; Договор №91-00638 от 21 января 2024	SERVICE
оплата по счетам 0164, 0248,0269, 0611 за услугиСумма 2025.07.01В т.ч. НДС(20%) 2440000,00 (перевозка грузов)	SERVICE
Оплата по договору процентного займа №В-03253/30 от 10 июля 2024 г.. Без НДС	LOAN
Оплата за Конфеты Milla Vanilla с кокосовой стружкой 150г по счету 90436675415349880460 от 27.05.2028г. Сумма 2580,00	FOOD_GOODS
"Оплата основного долга за период с 30.11.2023 по 16 ноября 2023г по Договору №Д-03230/57 от 19/09/2026 с ОАО ""Второй банк"""	BANK_SERVICE
За бронирование отеля в г. Серпухов по договору №1-01217/98 от 08 мая 2027	SERVICE
Оплата дог №367 от за 05/24г.согл.сч 0596 от 25.05.24г.,счет-фактура 0070 от 26.05.2024г.	NOT_CLASSIFIED
Частичная оплата по счету № 0642 от 07 августа 2026 г. за костюмы ФаворитСумма 31300,00В т.ч. НДС(20%) 5216,66	NON_FOOD_GOODS
Оплата по счету #0250 от 26 сентября 2023г за яхту/катер Midnight Express FL06354	SERVICE
Оплата за Грунт Seasons универсальный 10л по счету 85932475659399137420 от 30.08.2024 Сумма 3600,00	NON_FOOD_GOODS
Оплата по Договору №77-02161Е от 22/01/2023за бухгалтерское сопровождение в счет задолженности	SERVICE
За информационные услуги по договору №04921В от 24.06.2024г.	SERVICE
Оплата гос. услуги	TAX
Предоставление денежных средств по договору займа б/н от 07.08.2023. Без НДС	BANK_SERVICE
Оплата по договору №Б01187/37 от 20 мая 2028г, за сырьё для пищевой промышленности в т.ч. НДС 20% 725000,0	BANK_SERVICE
Оплата за Мешки для мусора Liberhaus сверхпрочные 240л 10шт по счету 97058773809286444074 от 18.08.2025 Сумма 3300-00	NON_FOOD_GOODS
По предвариельному договору №04292Б от 09 октября 2024 за квартиру в ЖК по адресу г. Кисловодск, Колхозная ул., д. 13	REAL_ESTATE
Оплата за Горбуша Fish House натуральная 245г по счету 01757332421554762930 от 14 марта 2026г Сумма 1060-00	FOOD_GOODS
Оплата за Очиститель Tiret для стиральных машин 250мл по счету 87279027396266279379 от 14.04.2026г Сумма 970,00	NON_FOOD_GOODS
Оплата по договору №87-04176А от 03 марта 2026, счету 0783 от 03 марта 2026 за мясные деликатесы. Сумма 31600-00 В т.ч. НДС 20% 5266-66	FOOD_GOODS
Окончательный расчет по акту приема-передачи №0594 от 20.05.2024 (договор лизинга №6-03719/43 от 23.07.2025 г.). В т.ч. НДС(20%) 528333,33	LEASING
Лечение по договору №461 от 24 июня 2023г	SERVICE
По предвариельному договору №43-04244 от 28.04.2028г за квартиру в ЖК по адресу г. Тольятти, Лесная ул., д. 13	REAL_ESTATE
Комиссия за справку о движении по счету (обороты) по письменному запросу клиента п.1.1.6 согласно	BANK_SERVICE
Оплата по договору процентного займа (20%) №Г-03286/08 от 01 января 2024г. Без НДС	LOAN
Возврат денежных средств по договору займа №90-04514 от 16.12.2024г. Без НДС	LOAN
Оплата за Кислота Красная Цена уксусная пищевая 70% 180мл по счету 00940009393118674373 от 29.01.2025г Сумма 3050,00	FOOD_GOODS
За покупку авиабилетов г. Кострома - г. Альметьевск по договору №305 от 26 декабря 2024 г.	SERVICE
Оплата по договору №03569Г от 13/03/2026г., за сырьё для пищевой промышленности в т.ч. НДС 20% 686666.66	FOOD_GOODS
За покупку авиабилетов г. Орехово-Зуево - г. Сургут по договору 67.001247-ЕЕ от 19.06.2024г	SERVICE
Обеспечительный платеж за виллу,договор №7-00412/04 от 17 апреля 2024г	NON_FOOD_GOODS
Оплата за Мицеллярная вода Чистая Линия Цветочная 3в1 100мл по счету 39232057623569584332 от 2026.11.07 Сумма 1790,00	NON_FOOD_GOODS
Оплата аванса за ГСМ по счету А-0450 от 25.07.2024г. к Договору №91А-02936 от 09 октября 2025г. на сумму 740000,00В т.ч. НДС(20%) 123333,33	NOT_CLASSIFIED
гос. пошлина	TAX
За транспортировку, перевозка ж/д транспортом из г. Рязань в г. Тверь по договору №04943Б от 25.04.2023 г.	SERVICE
Алименты	LOAN
Оплата по договору процентного займа (20%) №45В-02291 от 12.09.2024г.. Без НДС	LOAN
Оплата минеральной питьевой воды по счету 42077995181475627584 от 05 сентября 2027 г. Сумма 4920,00 без учета НДС	FOOD_GOODS
Оплата за Лечо Global Village 520г по счету 28415641437755656443 от 07.03.2023г Сумма 690-00	NOT_CLASSIFIED
Оплата по договору процентного займа (20%) №26-02960 от 14.08.2024г.. Без НДС	LOAN
Оплата по акту сверки б/н от 02/07/2024г. (в рамках договора лизинга №20Б-02888 от 09.09.2023). В т.ч. НДС(20%) 535000.0	LEASING
Оплата за Варенье Варенька клубничное 380г по счету 00031423065250879660 от 17.07.2025г. Сумма 3720,00	FOOD_GOODS
Оплата по договору №В-01176/19 от 11.09.2027 г.. сырье для пвадСумма 2920000-00В т.ч. НДС(20%) 486666-66	NON_FOOD_GOODS
Оплата обучения по договору №Б01577 от 16.04.2024 г.	SERVICE
Оплата за Ролик Econta для чистки одежды в ассортименте по счету 24555511968449603840 от 11.05.2025г Сумма 1390-00	NON_FOOD_GOODS
Оплата по договору процентного займа (20%) 08.098513-ГВ от 13/01/2024. Без НДС	LOAN
Оплата за Заправка Maggi для борща свекольно-томатная пастеризованная 250г по счету 67672243209067459331 от 27 ноября 2025 Сумма 1120,00	FOOD_GOODS
Оплата за Губки для мытья посуды Econta Maxi 5шт по счету 70936495260329106959 от 19.05.2023 Сумма 4390,00	NON_FOOD_GOODS
Оплата за Зефир, мармелад, пастила по счету 35367407843832821055 от 03.01.2025г Сумма 3560.00	FOOD_GOODS
Пополнение оборотных средств. НДС не облагается.	NOT_CLASSIFIED
Оплата по сч. 0282 от 04 октбяря 2024 за пищев. добавку (890,50 ев.) курс 104,4016. В т.ч. НДС 20% - 15 494,94	FOOD_GOODS
Оплата за Чайный напиток Greenfield Cherry Blossom с ароматом вишни 25х2г по счету 02226239707258277202 от 25 декабря 2028 Сумма 3590-00	FOOD_GOODS
Оплата по счету 0299,0300,0301 от 24 сентября 2024г (в рамках договора финансовой аренды №89-04854 от 16.05.2025). В т.ч. НДС(20%) 641666,66	LEASING
Комиссия за обслуживание по системе Клиент-Банк за период с :16 апреля 2024 г. по 03/07/2024. НДС не облагается.	BANK_SERVICE
Оплата по акту сверки б/н от 17.01.2024г (в рамках договора лизинга №88-00560Б от 20 апреля 2024). В т.ч. НДС(20%) 481666-66	LEASING
Оплата за Туалетная бумага Papia 3 слоя 8шт. по счету 55713313038036762746 от 07.02.2028 Сумма 3690.00	FOOD_GOODS
Оплата за Масло Global Village виноградное рафинированное 250мл по счету 17095678095869445687 от 16 апреля 2023 Сумма 4290,00	FOOD_GOODS
Оплата по счету 0835 от 05/02/2026г. за Red Bull. Сумма 27800.00 без учета НДС	FOOD_GOODS
Паевой взнос в жилищно-строительный кооператив с целью приобретения права собственности на жилое помещение по адресу г. Архангельск, Советский пер., д. 19	NON_FOOD_GOODS
По предвариельному договору №42-02124 от 27.07.2028 за квартиру в ЖК по адресу г. Новомосковск, Советский пер., д. 20	FOOD_GOODS
Оплата по сч. 0998 от 05 сентября 2024 г. за пищев. добавку (890,50 ев.) курс 104,4016. В т.ч. НДС 20% - 15 494,94	FOOD_GOODS
За аренду машины/автомобиля по договору №1-02696/02 от 27.07.2024	SERVICE
За гостиницу (Россия, г. Черкесск)	SERVICE
Оплата по договору процентного займа №Б04678/69 от 18.09.2024г.. Без НДС	LOAN
За покупку авиабилетов г. Оренбург - г. Казань по договору №412 от 12.06.2027 г.	SERVICE
Покупка непродовольственных товаров (не связано с предпринимательской деятельностью)	NON_FOOD_GOODS
